Time,Total,Generator
705,36.1363077372,5
706,36.1326838048,5
707,36.1215090615,5
708,36.1008376888,5
709,36.0727291625,5
710,36.0686699983,5
711,36.059051557,5
712,36.0457801722,5
713,36.0321016902,5
714,36.0161210066,5
715,36.0058438347,5
716,36.005401099,5
717,35.9976936191,5
718,35.9967140546,5
719,35.9947435284,5
720,35.9752497556,5
721,35.973619242,5
722,35.9677767484,5
723,35.9531187536,5
724,35.9511272647,5
725,35.9491177162,5
726,35.9334867754,5
727,35.9287529429,5
728,35.9246190222,5
729,35.9195102639,5
730,35.9176126703,5
731,35.9173005609,5
732,35.8967832974,5
733,35.8932254542,5
734,35.8916330362,5
735,35.8702832133,5
736,35.8503022676,5
737,35.8476975164,5
738,35.8452140484,5
739,35.8323028461,5
740,35.8307092234,5
741,35.8230035692,5
742,35.8212500001,5
743,35.8194156161,5
744,35.8152924256,5
745,35.8083823951,5
746,35.8065148163,5
747,35.8048797914,5
748,35.7987769152,5
749,35.7985244571,5
750,35.7913307282,5
751,35.7886986976,5
752,35.7860398908,5
753,35.7805131333,5
754,35.7698178223,5
755,35.7620712429,5
756,35.7588846166,5
757,35.7585851629,5
758,35.7522458686,5
759,35.7492648343,5
760,35.7492383852,5
761,35.6732381382,5
762,35.6662116378,5
763,35.6621346383,5
764,35.6491792763,5
765,35.6439200887,5
766,35.6390994964,5
767,35.6302527026,5
768,35.6176753716,5
769,35.6099280911,5
770,35.6090429798,5
771,35.5996542099,5
772,35.5922615854,5
773,35.590427204,5
774,35.58899719,5
775,35.5764056653,5
776,35.5709022503,5
777,35.5530510929,5
778,35.5526909865,5
779,35.535739799,5
780,35.5350612335,5
781,35.5263275451,5
782,35.5108139908,5
783,35.5091633386,5
784,35.508087904,5
785,35.5037537675,5
786,35.4997098678,5
787,35.4922522242,5
788,35.4848277692,5
789,35.4772408004,5
790,35.4753297401,5
791,35.4714594442,5
792,35.4701816606,5
793,35.4652984174,5
794,35.4626996109,5
795,35.4542123919,5
796,35.4536439396,5
797,35.4467266369,5
798,35.4450017439,5
799,35.4409553253,5
800,35.4209880573,5
801,35.4197075827,5
802,35.4117480085,5
803,35.4090728342,5
804,35.4065341563,5
805,35.3922977222,5
806,35.3827647327,5
807,35.378224714,5
808,35.3724937426,5
809,35.362142364,5
810,35.3542479287,5
811,35.3524068279,5
812,35.3407327048,5
813,35.340326446,5
814,35.3379120902,5
815,35.3348494744,5
816,35.3135658816,5
817,35.3121820932,5
818,35.3058656422,5
819,35.3015674736,5
820,35.2965393287,5
821,35.2808665389,5
822,35.2778847332,5
823,35.2701616819,5
824,35.2653808182,5
825,35.2606372252,5
826,35.2596302096,5
827,35.2518143861,5
828,35.25111133,5
829,35.250885923,5
830,35.2273433349,5
831,35.2220907572,5
832,35.2194015722,5
833,35.1964932527,5
834,35.1957798683,5
835,35.1809984998,5
836,35.1803199622,5
837,35.1621158887,5
838,35.1549859306,5
839,35.1447555452,5
840,35.1011652902,5
841,35.0984768439,5
842,35.0908895424,5
843,35.0888750125,5
844,35.0645249572,5
845,35.0613100716,5
846,35.0388052419,5
847,35.0381374012,5
848,35.034612095,5
849,35.0323205893,5
850,35.018797219,5
851,35.0178325539,5
852,35.011935325,5
853,35.0005508131,5
854,34.9893321235,5
855,34.9767499354,5
856,34.9736734649,5
857,34.9493719212,5
858,34.9435229247,5
859,34.9425300362,5
860,34.9422979373,5
861,34.9345401846,5
862,34.932348085,5
863,34.9302585595,5
864,34.9224074937,5
865,34.8955949271,5
866,34.8935039309,5
867,34.887717923,5
868,34.8823824918,5
869,34.8654258754,5
870,34.8648069506,5
871,34.8598580973,5
872,34.8548731686,5
873,34.838920743,5
874,34.8349814317,5
875,34.8211020174,5
